 报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),1699679,989965,558835,2461396,1643960,952472,527614,1966896,1363586,676148,266626,2358421,2301833,1570453,722228,2098407,1607829,853662,274199,1249141,843879,565791,256086, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 收到的税费返还(万元),11,11,--,16852,35,14,--,3301,22,18,12,36,25,13,3,38,24,5,--,97,93,90,--, 
 收到的其他与经营活动有关的现金(万元),27817,18291,3028,44309,11540,18824,2677,38749,11382,7428,4614,13046,859,445,213,8038,4455,5127,472,7888,3673,3288,832, 
 经营活动现金流入小计(万元),1727507,1008268,561863,2522557,1655535,971310,530291,2008946,1374991,683593,271252,2371503,2302717,1570910,722444,2106483,1612307,858795,274671,1257125,847645,569169,256918, 
 购买商品、接受劳务支付的现金(万元),1393599,814832,482283,2038490,1375319,815511,432260,1484831,1020056,402601,155028,1964560,1967484,1331928,599645,1637659,1276153,639452,186260,955746,577347,397295,170537, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 支付给职工以及为职工支付的现金(万元),97301,89266,30204,110310,84189,58033,28016,105832,86725,50419,23256,103972,81800,55281,28336,95965,69076,44428,32838,69996,68004,28465,20877, 
 支付的各项税费(万元),73496,56697,44561,103728,86448,72125,56300,128546,110766,73592,57488,200593,181517,129615,69257,182927,145712,83628,36928,137600,103207,72425,31947, 
 支付的其他与经营活动有关的现金(万元),35447,24534,13928,48790,39137,25606,11393,60131,25121,17280,12814,35707,25514,23272,13062,20978,29508,16631,12403,19411,40640,12262,15116, 
 经营活动现金流出小计(万元),1599843,985329,570976,2301317,1585093,971276,527969,1779340,1242667,543891,248586,2304832,2256314,1540097,710299,1937529,1520449,784140,268429,1182752,789198,510446,238477, 
 经营活动产生的现金流量净额(万元),127664,22938,-9114,221239,70441,34,2322,229606,132324,139702,22666,66671,46403,30814,12145,168954,91858,74654,6243,74373,58447,58724,18441, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,152,152,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,100,100,100,0,300,300,--,0,800,675,400,400,842,581,581,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),77,76,--,--,--,--,--,179,118,8,3,9,4796,4679,31,218,191,175,146,3,3,3,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,0,4,0,--,0,0,--,--,--,0,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 投资活动现金流入小计(万元),77,76,0,0,0,--,--,279,218,108,3,313,5096,4679,31,1018,866,575,546,845,736,736,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),35119,30208,16099,64207,41666,30149,19028,111663,91332,28126,20475,128475,79246,59279,28972,129484,94761,53907,31432,196076,105031,45256,2772, 
 投资所支付的现金(万元),17000,--,--,178,178,178,--,347,347,347,0,--,0,--,0,3416,2943,2608,--,1020,597,2025,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 投资活动现金流出小计(万元),52119,30208,16099,64385,41844,30327,19028,112010,91679,28473,20475,128475,79246,59279,28972,132900,97705,56515,31432,197096,105628,47281,2772, 
 投资活动产生的现金流量净额(万元),-52043,-30132,-16099,-64385,-41844,-30327,-19028,-111731,-91461,-28365,-20473,-128162,-74150,-54600,-28941,-131882,-96839,-55939,-30886,-196251,-104892,-46545,-2772, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,250,0,--,0,0,--,--,--,0,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 取得借款收到的现金(万元),143345,107220,97376,238688,175000,140000,104000,122869,115000,70000,60000,421960,213044,125786,23598,408482,234743,160826,84000,346841,208234,89669,24660, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,--,200000,200000,200000,0,--,--,--,0,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,700,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 筹资活动现金流入小计(万元),143345,107220,97376,239388,175000,140000,104000,122869,115000,70000,60000,422210,413044,325786,223598,408482,234743,160826,84000,346841,208234,89669,24660, 
 偿还债务支付的现金(万元),278324,144843,85100,286292,177044,85463,54000,175190,102544,59544,5000,314978,255803,204476,14200,340030,188676,122130,58835,204018,137455,70781,42386, 
 分配股利、利润或偿付利息所支付的现金(万元),30857,28337,17600,43968,36300,30339,18435,58557,52174,45669,20480,92548,82653,74638,9291,71317,61731,53613,7383,23261,17690,10507,4287, 
 其中：子公司支付给少数股东的股利、利润(万元),130,45,--,--,241,241,--,--,402,132,0,--,0,333,0,0,1946,1946,--,0,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,1532,--,--,--,--,--,--,0,1007,4266,3436,2179,0,183,169,--,0,--,18,--, 
 筹资活动现金流出小计(万元),309182,173180,102700,331792,213344,115801,72435,233747,154718,105213,25480,408533,342722,282550,25670,411348,250590,175913,66218,227279,155145,81306,46673, 
 筹资活动产生的现金流量净额(万元),-165837,-65960,-5324,-92404,-38344,24199,31565,-110879,-39718,-35213,34520,13677,70322,43236,197929,-2866,-15847,-15087,17782,119562,53089,8363,-22013, 
 汇率变动对现金及现金等价物的影响(万元),-528,-416,-248,-370,-233,-38,-16,-2,14,50,39,-2953,-1314,-881,-404,-742,-511,-423,-21,-411,-134,-132,-3, 
 现金及现金等价物净增加额(万元),-90744,-73571,-30785,64080,-9979,-6133,14842,6994,1158,76173,36753,-50767,41261,18570,180729,33464,-21338,3205,-6883,-2727,6510,20409,-6347, 
 加:期初现金及现金等价物余额(万元),143239,143239,143239,79159,79159,79159,79159,72165,72165,72165,72165,122932,122932,122932,122932,89468,89468,89468,89468,92195,88843,88843,88843, 
 期末现金及现金等价物余额(万元),52495,69668,112454,143239,69179,73026,94001,79159,73323,148338,108918,72165,164193,141501,303661,122932,68130,92673,82585,89468,95353,109253,82497, 
 净利润(万元),--,19826,--,12378,--,27187,--,9870,--,-59681,0,26790,0,65980,0,113954,--,50821,--,79331,--,29996,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,601,--,--,--,0,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 资产减值准备(万元),--,18,--,664,--,2173,--,-25165,--,146,0,22493,0,-1347,0,2051,--,944,--,10916,--,9037,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,54931,--,111010,--,56320,--,116370,--,58546,0,111788,0,55294,0,110401,--,54919,--,90668,--,40126,--, 
 无形资产摊销(万元),--,37,--,74,--,37,--,62,--,15,0,12,0,3,0,6,--,3,--,3,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,779,--,-124,--,5150,--,--,0,3749,0,--,0,5035,--,--,--,0,--,--,--, 
 固定资产报废损失(万元),--,789,--,--,--,--,--,--,--,2231,0,--,0,4246,0,0,--,4103,--,650,--,396,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,0,--,--,--, 
