 报告日期,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),478053,296500,120297,367988,244979,101676, 
 客户存款和同业存放款项净增加额(万元),--,0,--,--,0,0, 
 向中央银行借款净增加额(万元,--,0,--,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,0,--,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,0,--,--,0,0, 
 收到再保险业务现金净额(万元),--,0,--,--,0,0, 
 保户储金及投资款净增加额(万元),--,0,--,--,0,0, 
 处置交易性金融资产净增加额(万元),--,0,--,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,0,--,--,0,0, 
 拆入资金净增加额(万元),--,0,--,--,0,0, 
 回购业务资金净增加额(万元),--,0,--,--,0,0, 
 收到的税费返还(万元),86,46,46,89,89,65, 
 收到的其他与经营活动有关的现金(万元),167,90,12,574,501,461, 
 经营活动现金流入小计(万元),478305,296636,120355,368652,245570,102202, 
 购买商品、接受劳务支付的现金(万元),342670,216818,98382,305165,196359,79067, 
 客户贷款及垫款净增加额(万元),--,0,--,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,0,--,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,0,--,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,0,--,--,0,0, 
 支付保单红利的现金(万元),--,0,--,--,0,0, 
 支付给职工以及为职工支付的现金(万元),17838,10627,4869,17782,10726,5407, 
 支付的各项税费(万元),27659,17661,6472,17094,13594,6342, 
 支付的其他与经营活动有关的现金(万元),2853,1607,883,2212,1790,404, 
 经营活动现金流出小计(万元),391020,246712,110606,342254,222469,91220, 
 经营活动产生的现金流量净额(万元),87285,49924,9749,26398,23101,10982, 
 收回投资所收到的现金(万元),--,0,0,--,0,0, 
 取得投资收益所收到的现金(万元),--,0,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),194,170,0,8,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),--,0,0,--,0,18, 
 减少质押和定期存款所收到的现金(万元),--,0,--,--,0,0, 
 投资活动现金流入小计(万元),194,170,0,8,0,18, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),10896,6826,3422,14225,9707,2312, 
 投资所支付的现金(万元),--,0,0,--,0,0, 
 质押贷款净增加额(万元),--,0,--,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,0,--,0,0, 
 支付的其他与投资活动有关的现金(万元),5,0,0,82,79,22, 
 增加质押和定期存款所支付的现金(万元),--,0,--,--,0,0, 
 投资活动现金流出小计(万元),10901,6826,3422,14307,9786,2333, 
 投资活动产生的现金流量净额(万元),-10707,-6656,-3422,-14298,-9786,-2315, 
 吸收投资收到的现金(万元),-30,-30,-30,--,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,0,--,--,0,0, 
 取得借款收到的现金(万元),79500,66500,26500,86000,76000,19856, 
 发行债券收到的现金(万元),--,0,--,--,0,0, 
 收到其他与筹资活动有关的现金(万元),29,21,6,37,36,4, 
 筹资活动现金流入小计(万元),79499,66491,26476,86037,76036,19860, 
 偿还债务支付的现金(万元),137875,106985,36751,68466,60716,23037, 
 分配股利、利润或偿付利息所支付的现金(万元),12855,4671,2314,13287,10856,2123, 
 其中：子公司支付给少数股东的股利、利润(万元),--,0,--,--,0,0, 
 支付其他与筹资活动有关的现金(万元),86,86,14,269,229,56, 
 筹资活动现金流出小计(万元),150816,111742,39079,82022,71801,25216, 
 筹资活动产生的现金流量净额(万元),-71317,-45251,-12603,4014,4235,-5356, 
 汇率变动对现金及现金等价物的影响(万元),--,0,0,--,0,0, 
 现金及现金等价物净增加额(万元),5262,-1983,-6275,16114,17550,3311, 
 加:期初现金及现金等价物余额(万元),18029,18029,18029,21738,21738,0, 
 期末现金及现金等价物余额(万元),23290,16045,11753,37852,39288,0, 
 净利润(万元),--,40115,13492,--,18478,8837, 
 少数股东损益(万元),--,2,--,--,-6,0, 
 未确认的投资损失(万元),--,0,--,--,0,0, 
 资产减值准备(万元),--,392,1573,--,933,262, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,10951,5509,--,9927,4973, 
 无形资产摊销(万元),--,0,0,--,0,0, 
 长期待摊费用摊销(万元),--,0,0,--,0,0, 
 待摊费用的减少(万元),--,0,--,--,0,0, 
 预提费用的增加(万元),--,0,--,--,3362,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,374,0,--,-855,0, 
 固定资产报废损失(万元),--,0,0,--,0,0, 
 公允价值变动损失(万元),--,0,0,--,0,0, 
 递延收益增加(减：减少)(万元),--,0,--,--,0,0, 
 预计负债(万元),--,0,--,--,0,0, 
 财务费用(万元),--,4972,4191,--,5054,2736, 
 投资损失(万元),--,19,-2,--,20,24, 
 递延所得税资产减少(万元),--,-35,-8,--,0,0, 
 递延所得税负债增加(万元),--,0,0,--,0,0, 
 存货的减少(万元),--,-2270,-1519,--,-8445,-14588, 
 经营性应收项目的减少(万元),--,11414,26472,--,-25234,-8154, 
 经营性应付项目的增加(万元),--,-16009,-39958,--,20382,11715, 
 已完工尚未结算款的减少(减:增加)(万元),--,0,--,--,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,0,--,--,0,0, 
 其他(万元),--,0,0,--,-516,0, 
 经营活动产生现金流量净额(万元),--,49924,9749,--,23101,10982, 
 债务转为资本(万元),--,0,0,--,0,0, 
 一年内到期的可转换公司债券(万元),--,0,0,--,0,0, 
 融资租入固定资产(万元),--,0,0,--,0,0, 
 现金的期末余额(万元),23290,16045,11753,37852,27311,25049, 
 现金的期初余额(万元),18029,18029,18029,21738,21738,21738, 
 现金等价物的期末余额(万元),--,0,0,--,11978,0, 
 现金等价物的期初余额(万元),--,0,0,--,0,0, 
 现金及现金等价物的净增加额(万元),5262,-1983,-6275,16114,17550,3311, 

