 报告日期,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),172990,96534,32627,178495,124822,78259,21126,132735,95515,65187,23658,112052,84790,49416,17599,119581,78804,43101,15577, 
 客户存款和同业存放款项净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 收到的税费返还(万元),6379,5986,3440,10660,5889,2654,1196,10603,7309,3442,849,8607,4487,2086,737,7556,4593,2162,649, 
 收到的其他与经营活动有关的现金(万元),1151,760,185,729,890,556,799,388,1671,476,40,552,650,3264,1914,846,7320,1052,1266, 
 经营活动现金流入小计(万元),180520,103280,36252,189884,131601,81469,23121,143726,104495,69105,24547,121211,89927,54765,20249,127983,90717,46315,17492, 
 购买商品、接受劳务支付的现金(万元),149997,84219,33678,122422,84804,46469,14800,102810,74184,45994,19887,84492,61211,39289,13648,89944,56347,31477,14168, 
 客户贷款及垫款净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10258,7041,3615,11354,7585,5075,2629,8501,6055,4161,2346,7989,6084,3839,2058,5574,3865,2866,1539, 
 支付的各项税费(万元),12445,6954,3248,18717,12565,8065,1472,11722,7998,5713,1454,10161,6306,3633,1041,11288,7295,4555,1023, 
 支付的其他与经营活动有关的现金(万元),8690,6323,1734,6731,5530,3335,2156,6281,6618,3416,1707,4882,5231,5075,3454,5847,11198,4610,1748, 
 经营活动现金流出小计(万元),181391,104537,42276,159224,110484,62945,21057,129314,94855,59284,25394,107524,78832,51836,20201,112653,78706,43508,18478, 
 经营活动产生的现金流量净额(万元),-871,-1257,-6024,30661,21117,18524,2064,14412,9640,9821,-847,13687,11096,2929,48,15330,12011,2807,-986, 
 收回投资所收到的现金(万元),--,--,--,825,42,42,--,1192,1192,1192,--,0,--,0,0,--,--,--,--, 
 取得投资收益所收到的现金(万元),0,--,--,1,1,--,--,--,--,0,--,1,--,0,0,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1962,1776,--,2852,2411,1505,1118,4643,709,601,538,1896,687,675,105,988,875,820,628, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,0,780,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),37,37,--,0,--,--,--,--,3,0,--,0,9,0,0,1623,0,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 投资活动现金流入小计(万元),2000,1813,--,3678,3234,1547,1118,5835,1903,1792,538,1897,696,675,105,2610,875,820,628, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),61882,41926,11165,10549,2663,1708,769,3906,3194,1829,728,2295,1508,729,142,3647,1885,1124,484, 
 投资所支付的现金(万元),--,--,2000,0,--,814,--,--,--,0,--,1129,1000,1118,500,--,753,796,293, 
 质押贷款净增加额(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),17010,17010,--,768,766,-48,--,--,--,0,--,-0,--,0,0,753,--,42,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,0,10,--,--,--,--,298,--,0,--,0,0,--,55,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
 投资活动现金流出小计(万元),78891,58936,13165,11318,3439,2474,769,3906,3194,2127,728,3424,2508,1846,642,4399,2693,1962,778, 
 投资活动产生的现金流量净额(万元),-76892,-57123,-13165,-7640,-205,-927,349,1929,-1291,-335,-190,-1527,-1812,-1172,-537,-1789,-1818,-1142,-149, 
 吸收投资收到的现金(万元),139,--,--,0,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),139,--,--,0,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--, 
