 报告日期,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),874674,535665,1442235,1052495,731822,443656,1148126,839673,593307,340199,1044731,744399,587051,346891,941153,674744,465116,264276,1006792,799730,321950, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 拆入资金净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 收到的税费返还(万元),1595,84,3281,2634,1369,--,3344,1296,885,--,2779,726,4,--,921,14,0,0,275,274,4, 
 收到的其他与经营活动有关的现金(万元),7666,6749,11956,12635,5022,6652,16205,27603,11116,6711,4805,216747,27250,44795,12750,205706,15191,109082,7204,51413,11503, 
 经营活动现金流入小计(万元),883935,542498,1457472,1067764,738213,450308,1167675,868571,605309,346910,1052316,961872,614306,391686,954824,880464,480307,373358,1014271,851417,333457, 
 购买商品、接受劳务支付的现金(万元),685228,396968,1061489,781065,555554,338253,837818,637601,465640,269036,754895,563924,464880,261049,682148,509701,359931,201461,742184,632882,263999, 
 客户贷款及垫款净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,--, 
