 报告日期,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30, 
 销售商品、提供劳务收到的现金(万元),182,121,61,122,39166, 
 客户存款和同业存放款项净增加额(万元),0,--,--,--,0, 
 向中央银行借款净增加额(万元,0,--,--,--,0, 
 向其他金融机构拆入资金净增加额(万元),0,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),0,--,--,--,0, 
 收到再保险业务现金净额(万元),0,--,--,--,0, 
 保户储金及投资款净增加额(万元),0,--,--,--,0, 
 处置交易性金融资产净增加额(万元),0,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),0,--,--,--,0, 
 拆入资金净增加额(万元),0,--,--,--,0, 
 回购业务资金净增加额(万元),0,--,--,--,0, 
 收到的税费返还(万元),0,--,--,--,0, 
 收到的其他与经营活动有关的现金(万元),1216,1009,42,539,1160, 
 经营活动现金流入小计(万元),1397,1130,104,661,5077, 
 购买商品、接受劳务支付的现金(万元),84,59,17,79,242, 
 客户贷款及垫款净增加额(万元),0,--,--,--,0, 
 存放中央银行和同业款项净增加额(万元),0,--,--,--,0, 
 支付原保险合同赔付款项的现金(万元),0,--,--,--,0, 
 支付利息、手续费及佣金的现金(万元),0,--,--,--,0, 
 支付保单红利的现金(万元),0,--,--,--,0, 
 支付给职工以及为职工支付的现金(万元),35,29,16,287,190, 
 支付的各项税费(万元),193,193,--,--,1, 
 支付的其他与经营活动有关的现金(万元),1107,823,39,147,4501, 
 经营活动现金流出小计(万元),1418,1104,72,513,4933, 
 经营活动产生的现金流量净额(万元),-21,26,31,148,143, 
 收回投资所收到的现金(万元),0,--,--,--,0, 
 取得投资收益所收到的现金(万元),0,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,--,--,--,0, 
 处置子公司及其他营业单位收到的现金净额(万元),0,--,--,--,0, 
 收到的其他与投资活动有关的现金(万元),0,--,--,--,0, 
 减少质押和定期存款所收到的现金(万元),0,--,--,--,0, 
 投资活动现金流入小计(万元),0,0,0,--,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),0,--,--,--,0, 
 投资所支付的现金(万元),0,--,--,--,0, 
 质押贷款净增加额(万元),0,--,--,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),0,--,--,--,0, 
 支付的其他与投资活动有关的现金(万元),0,--,--,--,0, 
 增加质押和定期存款所支付的现金(万元),0,--,--,--,0, 
 投资活动现金流出小计(万元),0,0,0,--,0, 
 投资活动产生的现金流量净额(万元),0,0,--,--,0, 
 吸收投资收到的现金(万元),0,--,--,--,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),0,--,--,--,0, 
 取得借款收到的现金(万元),0,--,--,--,0, 
 发行债券收到的现金(万元),0,--,--,--,0, 
 收到其他与筹资活动有关的现金(万元),0,--,--,--,0, 
 筹资活动现金流入小计(万元),0,0,0,--,0, 
 偿还债务支付的现金(万元),0,--,--,55,55, 
 分配股利、利润或偿付利息所支付的现金(万元),0,--,--,102,84, 
 其中：子公司支付给少数股东的股利、利润(万元),0,--,--,--,0, 
 支付其他与筹资活动有关的现金(万元),0,--,--,0,0, 
 筹资活动现金流出小计(万元),0,0,0,157,139, 
 筹资活动产生的现金流量净额(万元),0,0,0,-157,-139, 
 汇率变动对现金及现金等价物的影响(万元),0,--,--,--,0, 
 现金及现金等价物净增加额(万元),-21,26,31,-10,4, 
 加:期初现金及现金等价物余额(万元),44,44,--,762,39, 
 期末现金及现金等价物余额(万元),23,70,--,753,44, 
 净利润(万元),0,-1139,--,--,638, 
 少数股东损益(万元),0,--,--,--,0, 
 未确认的投资损失(万元),0,--,--,--,0, 
 资产减值准备(万元),0,--,--,--,13, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),0,--,--,--,1, 
 无形资产摊销(万元),0,--,--,--,0, 
 长期待摊费用摊销(万元),0,--,--,--,0, 
 待摊费用的减少(万元),0,--,--,--,0, 
 预提费用的增加(万元),0,--,--,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),0,--,--,--,0, 
 固定资产报废损失(万元),0,--,--,--,0, 
 公允价值变动损失(万元),0,--,--,--,0, 
 递延收益增加(减：减少)(万元),0,--,--,--,0, 
 预计负债(万元),0,--,--,--,0, 
 财务费用(万元),0,700,--,--,2166, 
 投资损失(万元),0,--,--,--,0, 
 递延所得税资产减少(万元),0,--,--,--,0, 
 递延所得税负债增加(万元),0,--,--,--,0, 
 存货的减少(万元),0,10,--,--,3, 
 经营性应收项目的减少(万元),0,-405,--,--,-1951, 
 经营性应付项目的增加(万元),0,861,--,--,-727, 
 已完工尚未结算款的减少(减:增加)(万元),0,--,--,--,0, 
 已结算尚未完工款的增加(减:减少)(万元),0,--,--,--,0, 
 其他(万元),0,--,--,--,0, 
 经营活动产生现金流量净额(万元),0,26,--,--,143, 
 债务转为资本(万元),0,--,--,--,0, 
 一年内到期的可转换公司债券(万元),0,--,--,--,0, 
 融资租入固定资产(万元),0,--,--,--,0, 
 现金的期末余额(万元),23,70,0,753,44, 
 现金的期初余额(万元),44,44,0,762,39, 
 现金等价物的期末余额(万元),0,--,--,--,0, 
 现金等价物的期初余额(万元),0,--,--,--,0, 
 现金及现金等价物的净增加额(万元),-21,26,0,-10,4, 

