 报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),24396,17094,3888,33269,25027,11354,5569,26696,21714,13475,5750,25708,19076,13002,6369, 
 客户存款和同业存放款项净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 向中央银行借款净增加额(万元,0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 收到再保险业务现金净额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 拆入资金净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 回购业务资金净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 收到的税费返还(万元),211,211,0,134,0,0,0,210,15,11,0,21,30,30,0, 
 收到的其他与经营活动有关的现金(万元),5289,3321,1431,994,3598,2617,648,1643,3627,1971,686,16,2352,1272,1048, 
 经营活动现金流入小计(万元),29896,20625,5319,34398,28625,13971,6218,28549,25356,15457,6436,25745,21458,14304,7417, 
 购买商品、接受劳务支付的现金(万元),9536,7635,378,14304,15559,2339,1165,15609,11539,7495,2944,13813,7160,5439,3362, 
 客户贷款及垫款净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 支付保单红利的现金(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),4263,3413,1508,6094,2929,2600,1519,4786,3584,2531,1565,6017,3427,2113,1283, 
 支付的各项税费(万元),4204,2729,1070,4819,2001,2079,776,3273,2226,1222,445,3393,2282,1685,981, 
 支付的其他与经营活动有关的现金(万元),9348,4782,3116,9645,10325,10289,6241,7217,8913,5715,2991,4285,8886,5402,2208, 
 经营活动现金流出小计(万元),27350,18559,6073,34861,30815,17306,9701,30886,26262,16964,7945,27508,21755,14639,7834, 
 经营活动产生的现金流量净额(万元),2546,2067,-753,-463,-2190,-3335,-3483,-2337,-906,-1506,-1509,-1764,-297,-335,-417, 
 收回投资所收到的现金(万元),0,335,0,468,0,0,0,2275,--,0,--,1355,--,0,0, 
 取得投资收益所收到的现金(万元),2495,1003,465,2219,2856,2487,2479,8208,10115,10115,7247,81,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),21,50,2700,1,0,0,0,100,268,292,3,52,2011,9,0, 
 处置子公司及其他营业单位收到的现金净额(万元),0,0,0,--,--,0,0,0,--,0,--,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),0,0,0,--,0,0,0,316,0,0,--,7571,25,25,25, 
 减少质押和定期存款所收到的现金(万元),--,0,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 投资活动现金流入小计(万元),2516,1388,3165,2688,2856,2487,2479,10898,10384,10407,7249,9058,2036,34,25, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),905,920,520,3499,3119,1259,302,1899,905,572,3,1026,298,288,90, 
 投资所支付的现金(万元),0,0,0,--,0,0,0,0,--,0,--,1065,90,45,45, 
 质押贷款净增加额(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),0,0,0,--,0,0,0,0,--,0,--,0,--,0,0, 
 支付的其他与投资活动有关的现金(万元),109,0,0,142,0,0,0,202,--,51,--,0,8,4,1, 
 增加质押和定期存款所支付的现金(万元),--,0,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 投资活动现金流出小计(万元),1014,920,520,3640,3119,1259,302,2101,905,624,3,2091,395,337,137, 
 投资活动产生的现金流量净额(万元),1502,469,2645,-952,-263,1228,2177,8798,9479,9784,7247,6967,1640,-302,-111, 
 吸收投资收到的现金(万元),5000,0,0,--,0,0,0,0,--,0,--,0,--,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),0,0,--,--,--,0,0,0,--,0,--,0,--,0,0, 
 取得借款收到的现金(万元),10800,11000,5800,26380,13150,5350,4100,38440,27640,21340,20690,18767,4950,4200,4200, 
