 报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30, 
 销售商品、提供劳务收到的现金(万元),15780,10006,2588,27436,24252,18284,235,57,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,99,88,88,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),7170,3877,272,2643,3489,3125,21,19,-510,-100,93,35,--, 
 经营活动现金流入小计(万元),22950,13883,2859,30178,27829,21497,256,76,-510,-100,93,35,0, 
 购买商品、接受劳务支付的现金(万元),14256,10357,2153,21072,19997,15466,48,255,62,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1031,635,207,1440,1096,703,66,188,138,87,40,10,--, 
 支付的各项税费(万元),1183,868,54,927,626,345,1,223,94,66,0,178,--, 
 支付的其他与经营活动有关的现金(万元),7799,3854,284,3132,4561,3745,204,296,287,258,265,1171,--, 
 经营活动现金流出小计(万元),24269,15715,2698,26571,26280,20260,320,961,581,411,306,1358,0, 
 经营活动产生的现金流量净额(万元),-1319,-1831,161,3607,1549,1237,-64,-885,-1091,-511,-213,-1323,0, 
