,Code,2018,2017
0,600000,1,2
1,600001,0,0
2,600002,0,0
3,600003,0,0
4,600004,0,0
5,600005,0,0
6,600006,3,4
7,600007,0,0
8,600008,7,1
9,600009,0,0
10,600010,3,2
11,600011,1,2
12,600012,0,0
13,600015,1,1
14,600016,1,1
15,600017,2,3
16,600018,0,0
17,600019,2,2
18,600020,6,2
19,600021,3,3
20,600022,3,3
21,600023,2,3
22,600026,2,3
23,600027,2,1
24,600028,1,0
25,600029,0,0
26,600030,0,2
27,600031,3,0
28,600033,0,2
29,600035,2,1
30,600037,0,0
31,600038,1,3
32,600039,3,3
33,600048,3,2
34,600050,3,2
35,600051,2,1
36,600052,2,4
37,600053,2,3
38,600054,2,2
39,600055,2,1
40,600056,3,2
41,600057,6,6
42,600058,2,3
43,600059,2,1
44,600060,3,2
45,600061,2,2
46,600062,2,1
47,600063,2,0
48,600064,0,0
49,600065,0,0
50,600066,0,1
51,600067,3,4
52,600068,4,4
53,600069,5,3
54,600071,1,4
55,600072,2,3
56,600073,3,4
57,600074,3,4
58,600075,3,3
59,600076,4,6
60,600077,4,2
61,600078,1,1
62,600079,2,0
63,600080,0,1
64,600081,1,2
65,600082,4,5
66,600083,2,2
67,600084,1,0
68,600085,0,0
69,600086,0,0
70,600087,0,0
71,600088,0,8
72,600089,5,1
73,600090,2,0
74,600091,0,0
75,600092,0,3
76,600093,3,1
77,600094,4,3
78,600095,1,8
79,600096,7,2
80,600097,2,3
81,600098,2,2
82,600099,2,0
83,600100,0,0
84,600101,0,0
85,600102,0,1
86,600103,1,0
87,600104,0,1
88,600105,2,2
89,600106,1,2
90,600107,1,2
91,600108,2,2
92,600109,1,9
93,600110,7,4
94,600111,2,1
95,600112,5,2
96,600113,3,2
97,600114,3,3
98,600115,2,1
99,600116,2,6
100,600117,4,0
101,600118,0,2
102,600119,1,4
103,600120,4,1
104,600121,2,5
105,600122,3,1
106,600123,1,1
107,600126,1,1
108,600127,1,3
109,600128,2,2
110,600129,2,3
111,600130,0,0
112,600131,1,3
113,600132,0,0
114,600133,3,3
115,600135,1,1
116,600136,9,7
117,600137,2,1
118,600138,3,2
119,600139,1,3
120,600141,2,4
121,600143,2,2
122,600145,1,4
123,600146,4,7
124,600148,2,1
125,600149,2,2
126,600150,5,4
127,600151,2,5
128,600152,4,7
129,600153,1,1
130,600155,4,1
131,600156,2,2
132,600157,9,8
133,600158,5,4
134,600159,2,4
135,600160,2,2
136,600161,5,3
137,600162,3,0
138,600163,0,2
139,600165,5,6
140,600166,2,3
141,600167,2,3
142,600168,3,1
143,600170,0,0
144,600171,2,1
145,600172,2,3
146,600173,4,2
147,600175,3,3
148,600176,2,2
149,600177,2,2
150,600178,4,3
151,600179,2,3
152,600180,4,0
153,600181,0,0
154,600182,0,1
155,600183,1,3
156,600184,3,2
157,600185,3,1
158,600186,6,3
159,600188,2,3
160,600189,2,1
161,600190,3,2
162,600191,1,1
163,600192,1,1
164,600193,0,0
165,600195,3,3
166,600196,1,2
167,600197,1,4
168,600198,3,1
169,600199,4,1
170,600201,2,1
171,600202,2,2
172,600203,1,0
173,600205,0,1
174,600206,3,1
175,600207,2,2
176,600208,5,2
177,600210,2,2
178,600211,3,1
179,600212,2,2
180,600213,2,6
181,600215,3,1
182,600217,3,3
183,600218,2,0
184,600219,0,0
185,600220,0,1
186,600221,8,2
187,600223,4,1
188,600225,6,6
189,600226,4,3
190,600227,4,3
191,600228,2,3
192,600229,1,1
193,600230,1,6
194,600231,2,1
195,600233,3,1
196,600234,3,4
197,600235,2,2
198,600236,2,2
199,600237,1,4
200,600239,3,2
201,600240,2,2
202,600241,3,3
203,600242,3,3
204,600243,1,2
205,600246,3,1
206,600247,1,3
207,600248,3,4
208,600249,1,1
209,600250,2,2
210,600251,6,2
211,600252,3,2
212,600253,0,0
213,600255,3,7
214,600256,6,5
215,600257,1,1
216,600258,2,5
217,600259,3,1
218,600260,3,3
219,600261,0,0
220,600262,2,1
221,600263,0,0
222,600265,3,1
223,600266,3,1
224,600267,7,6
225,600268,4,4
226,600269,1,2
227,600270,0,0
228,600271,1,1
229,600272,1,6
